1,CA-2012-124891,2019-07-31,2019-07-31,494,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
2,IN-2013-77878,2020-02-05,2020-02-07,319,SNK-2,Sneakers,Balenciaga Street Wear,19999.98,2,9999.99
3,IN-2013-71249,2020-10-17,2020-10-18,145,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
4,ES-2013-1579342,2020-01-28,2020-01-30,342,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
5,SG-2013-4320,2020-11-05,2020-11-06,496,SNK-1,Sneakers,StockX Air Jordan 1 Colette,39999.98,2,19999.99
6,IN-2013-42360,2020-06-28,2020-07-01,315,SNK-2,Sneakers,Balenciaga Street Wear,9999.99,1,9999.99
7,IN-2011-81826,2018-11-07,2018-11-09,599,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
8,IN-2012-86369,2019-04-14,2019-04-18,374,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
9,CA-2014-135909,2021-10-14,2021-10-21,325,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
10,CA-2012-116638,2019-01-28,2019-01-31,299,SNK-2,Sneakers,Balenciaga Street Wear,9999.99,1,9999.99
11,CA-2011-102988,2018-04-05,2018-04-09,244,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,74001.98,2,37000.99
12,ID-2012-28402,2019-04-19,2019-04-22,31,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
13,SA-2011-1830,2018-12-27,2018-12-29,404,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
14,MX-2012-130015,2019-11-13,2019-11-13,611,SNK-2,Sneakers,Balenciaga Street Wear,19999.98,2,9999.99
15,IN-2013-73951,2020-06-06,2020-06-08,456,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
16,ES-2014-5099955,2021-07-31,2021-08-03,77,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
17,CA-2014-143567,2021-11-03,2021-11-06,576,SNK-1,Sneakers,StockX Air Jordan 1 Colette,39999.98,2,19999.99
18,ES-2014-1651774,2021-09-08,2021-09-14,460,SNK-2,Sneakers,Balenciaga Street Wear,9999.99,1,9999.99
19,IN-2014-11763,2021-01-31,2021-02-01,322,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
20,TZ-2014-8190,2021-12-05,2021-12-07,497,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
21,PL-2012-7820,2019-08-08,2019-08-10,9,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
22,CA-2011-154627,2018-10-29,2018-10-31,515,SNK-2,Sneakers,Balenciaga Street Wear,9999.99,1,9999.99
23,IN-2011-44803,2018-05-02,2018-05-03,301,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,74001.98,2,37000.99
24,ES-2013-2860574,2020-02-27,2020-03-01,353,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
25,US-2014-133193,2021-07-31,2021-08-01,442,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
26,MX-2014-165309,2021-09-05,2021-09-08,610,SNK-2,Sneakers,Balenciaga Street Wear,19999.98,2,9999.99
27,IN-2011-10286,2018-12-17,2018-12-20,454,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
28,ES-2011-4699764,2018-03-14,2018-03-17,207,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
29,CA-2013-159016,2020-03-11,2020-03-12,337,SNK-1,Sneakers,StockX Air Jordan 1 Colette,39999.98,2,19999.99
30,IN-2012-44810,2019-02-25,2019-02-25,78,SNK-2,Sneakers,Balenciaga Street Wear,9999.99,1,9999.99
31,US-2011-128776,2018-12-28,2018-12-30,510,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
32,ES-2012-5870268,2019-07-17,2019-07-19,81,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
33,CA-2012-139731,2019-10-15,2019-10-15,289,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
34,IN-2011-28087,2018-11-03,2018-11-05,194,SNK-2,Sneakers,Balenciaga Street Wear,9999.99,1,9999.99
35,CA-2011-168494,2018-12-12,2018-12-14,445,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,74001.98,2,37000.99
36,CG-2011-8610,2018-09-14,2018-09-15,30,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
37,CA-2011-160766,2018-09-14,2018-09-14,189,SNK-1,Sneakers,StockX Air Jordan 1 Colette,19999.99,1,19999.99
38,US-2014-168116,2021-11-05,2021-11-05,249,SNK-2,Sneakers,Balenciaga Street Wear,19999.98,2,9999.99
39,ES-2014-2637201,2021-01-14,2021-01-18,468,SNK-3,Sneakers,Eminem X Carhart Air Jordan 4,37000.99,1,37000.99
40,IN-2011-61302,2018-01-10,2018-01-11,181,SNK-4,Sneakers,Nike Dunk High Pro SB Flom,1000000,1,1000000
41,ID-2013-63976,2020-08-22,2020-08-26,278,SNK-1,Sneakers,StockX Air Jordan 1 Colette,39999.98,2,19999.99
